claim_id,anio,mes,dia,fecha,franja,tipo,subtipo,uso_arma,uso_moto,barrio,comuna,latitud,longitud,cantidad
35495,2023,FEBRERO,MIERCOLES,15/2/2023,11,Robo,Robo total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,633806","-58,484504",1
35496,2023,NOVIEMBRE,JUEVES,16/11/2023,12,Robo,Robo total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,637367","-58,49068",1
35500,2023,MARZO,MARTES,14/3/2023,15,Robo,Robo total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,636917","-58,482285",1
35501,2023,FEBRERO,DOMINGO,26/2/2023,15,Robo,Robo total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,635191","-58,484662",1
35504,2023,ABRIL,VIERNES,21/4/2023,17,Hurto,Hurto total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,631417","-58,488119",1
35506,2023,AGOSTO,LUNES,7/8/2023,8,Hurto,Hurto total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,624797","-58,493956",1
35508,2023,ENERO,JUEVES,5/1/2023,20,Hurto,Hurto total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,629525","-58,496473",1
35545,2023,SEPTIEMBRE,MIERCOLES,27/9/2023,14,Robo,Robo total,SI,NO,VELEZ SARSFIELD,CC-10,"-34,624678","-58,502649",1
36053,2023,ENERO,LUNES,16/1/2023,0,Hurto,Hurto total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,63857","-58,489857",1
36085,2023,JUNIO,MARTES,6/6/2023,20,Robo,Robo total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,628041","-58,503841",1
36092,2023,NOVIEMBRE,SABADO,18/11/2023,2,Hurto,Hurto total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,63784278","-58,48688742",1
37350,2023,AGOSTO,SABADO,19/8/2023,10,Hurto,Hurto total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,625617","-58,505115",1
37353,2023,SEPTIEMBRE,MIERCOLES,6/9/2023,13,Hurto,Hurto total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,625853","-58,505366",1
37398,2023,NOVIEMBRE,MIERCOLES,8/11/2023,5,Robo,Robo total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,622315","-58,497205",1
37422,2023,MARZO,MARTES,7/3/2023,22,Hurto,Hurto automotor,NO,NO,VELEZ SARSFIELD,CC-10,"-34,626355","-58,505959",1
37423,2023,MARZO,SABADO,25/3/2023,9,Robo,Robo total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,626535","-58,505657",1
37424,2023,ABRIL,LUNES,17/4/2023,8,Robo,Robo total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,62696446","-58,50514669",1
37425,2023,JUNIO,LUNES,5/6/2023,2,Robo,Robo total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,626692","-58,505451",1
37438,2023,ENERO,DOMINGO,29/1/2023,16,Hurto,Hurto total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,623394","-58,501364",1
37439,2023,MARZO,LUNES,27/3/2023,14,Hurto,Hurto total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,62276673","-58,50013345",1
37440,2023,ABRIL,JUEVES,13/4/2023,9,Hurto,Hurto total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,62343","-58,49986",1
37442,2023,MAYO,LUNES,15/5/2023,8,Hurto,Hurto total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,62316","-58,499271",1
37443,2023,SEPTIEMBRE,LUNES,11/9/2023,8,Hurto,Hurto total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,623147","-58,499044",1
37447,2023,SEPTIEMBRE,DOMINGO,10/9/2023,18,Hurto,Hurto total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,62335745","-58,49988991",1
37448,2023,FEBRERO,DOMINGO,12/2/2023,23,Hurto,Hurto total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,623451","-58,499839",1
37449,2023,ENERO,SABADO,14/1/2023,22,Hurto,Hurto total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,62330784","-58,50145836",1
